video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at,search_term,city
/watch?v=DHE7I1MWbrc&pp=ygUQamF6eiBOZXcgT3JsZWFucw%3D%3D,/@lewisluongrelaxation,LewisLuong Relaxation Cafe,New Orleans and New Orleans Jazz: Best of New Orleans Jazz Music (New Orleans Jazz Festival & Fest),5.3M,8 years,New Orleans and New Orleans Jazz - best of New Orleans jazz music for New Orleans jazz festival 2015 and New Orleans jazz ...,2024-01-29 03:01:51.937000,jazz,New Orleans
/watch?v=yYCHUGTdEfY&pp=ygUQamF6eiBOZXcgT3JsZWFucw%3D%3D,/@PLAYaudioTheSmoothJazzChannel,PLAYaudio - Smooth Jazz and more,"New Orleans City Jazz [Trumpet Jazz, Big Band Jazz]",686K,4 months,"As per request, here is our compilation of tracks for a city which made the history of Jazz: New Orleans 00:00:00 Do You Know ...",2024-01-29 03:01:51.944326,jazz,New Orleans
/watch?v=zU9JR1zlFfE&pp=ygUQamF6eiBOZXcgT3JsZWFucw%3D%3D,/@RelaxMusicRecords,Relax Music,Relax Music - New Orleans Dreams - Smooth Jazz Trumpet Lounge Music,348K,2 years,"Our Jazz Instrumental Music can be used for relaxing, calm, romantic dinner, cooking, work, and relaxation. This relaxing Jazz ...",2024-01-29 03:01:51.947487,jazz,New Orleans
/watch?v=mM1dIwGO00w&pp=ygUQamF6eiBOZXcgT3JsZWFucw%3D%3D,/@coffeerelaxingjazz,Coffee Relaxing Jazz,"New York Jazz Lounge with Relaxing Jazz Bar Classics 🍷Jazz Music for Studying, Working, Sleeping",4.3M,Streamed 1 year,"New York Jazz Lounge with Relaxing Jazz Bar Classics Jazz Music for Studying, Working, Sleeping Whether you're studying for ...",2024-01-29 03:02:03.098370,jazz,New Orleans
/watch?v=dIpTjQg4Zd8&pp=ygUQamF6eiBOZXcgT3JsZWFucw%3D%3D,/@PLAYaudioTheSmoothJazzChannel,PLAYaudio - Smooth Jazz and more,"75 Best Instrumental Jazz Hits [Smooth Jazz, Instrumental Jazz]",518K,3 months,"... It Means To Miss New Orleans TITTI CASTRINI,FRANCESCO CASALE,MAURO SERENO 04:17:59 What a Little Moonlight Can ...",2024-01-29 03:02:03.109091,jazz,New Orleans
/watch?v=3e2EWj52sNM&pp=ygUQamF6eiBOZXcgT3JsZWFucw%3D%3D,/@BluesWhiskey-mf1ct,Blues Whiskey,New Orleans Blues - Relaxing Whiskey Blues Music - Slow Blues & Rock Ballads - Blues Jazz Music,32K,3 months,"New Orleans Blues - Relaxing Whiskey Blues Music - Slow Blues & Rock Ballads - Blues Jazz Music ""New Orleans Blues ...",2024-01-29 03:02:03.115955,jazz,New Orleans
/watch?v=Ed-FhIZDgVA&pp=ygUQamF6eiBOZXcgT3JsZWFucw%3D%3D,/channel/UCBnMxlW70f0SB4ZTJx124lw,MONKEY BGM,(6hour)💖뉴올리언스 안가봤으면 이음악 PICK❗️l New Orleans Jazz Music l Relaxing Jazz Piano Music for Good Mood,246K,1 year,모든 음원은 직접 연주한 음원입니다.(All the music is directly performed.) Song List - 00:00 ...,2024-01-29 03:02:03.127624,jazz,New Orleans
/watch?v=gIPIB60DtqM&pp=ygUQamF6eiBOZXcgT3JsZWFucw%3D%3D,/@RelaxTube,RelaxTube,New Orleans and New Orleans Jazz: Best of New Orleans Jazz Music (New Orleans Jazz Festival & Fest),282K,4 years,New Orleans and New Orleans Jazz - best of New Orleans jazz music for New Orleans jazz festival 2016 and New Orleans jazz ...,2024-01-29 03:02:03.130147,jazz,New Orleans
/watch?v=jft3BVoxqjo&pp=ygUQamF6eiBOZXcgT3JsZWFucw%3D%3D,/@TheWsm0,TheWsm,Tuba Skinny - Jubilee Stomp - Royal Street I,7.9M,5 years,... in Jubilee Stomp https://youtu.be/IPQPBBR8K20 My favourite: https://youtu.be/hJP3fhan75o Recorded in New Orleans Shaye ...,2024-01-29 03:02:03.140432,jazz,New Orleans
/watch?v=0TKd9Ucybnc&pp=ygUQamF6eiBOZXcgT3JsZWFucw%3D%3D,/@CrescentCityMusic,CrescentCityMusic - Norbert Susemihl Jazz Archive,Norbert Susemihl's New Orleans All Stars - Live at the New Orleans Jazz Museum - April 2019,199K,4 years,"Recorded live at the first ""Rhythm and Flow Festival"" in New Orleans. Hosted by Tina and Tyler Ferguson with ""Sweet Music ...",2024-01-29 03:02:03.142780,jazz,New Orleans
