video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at,search_term,city
/watch?v=vSjwDgxmKRU&pp=ygULcmFwIERldHJvaXQ%3D,/channel/UC6H9y5SLr1CDBRrpDXbV9cA,DaBoii,DaBoii - Detroit Flow (Official Video),1.5M,2 years,Official Video by DaBoii - Detroit Flow © 2021 YWN / EMPIRE.,2024-01-29 02:31:56.744053,rap,Detroit
/watch?v=IAQJZ6Ix7AU&pp=ygULcmFwIERldHJvaXQ%3D,/channel/UCjUy5GbylYJC6kxJZYRwwVA,Rio Da Yung OG,Rio Da Yung Og - Talkin Crazy (Official Video),7.3M,8 months,#RioDaYungOG #EMPIRE #FreeRio Official Video by Rio Da Yung OG - Talkin Crazy © 2023 #Boyz Entertainment LLC.,2024-01-29 02:31:56.746236,rap,Detroit
/watch?v=iK27CLnfj-g&pp=ygULcmFwIERldHJvaXQ%3D,/channel/UCCSDJBBRz5sgVJhswLuX3DA,Gmac Cash,Gmac Cash - Lose Yourself (Lions Edition) Official Video Shot By @AyeYoNino  #gmaccash #detroitlions,12K,9 hours,Subscribe For More Music And Videos Instagram: @Gmaccash Twitter: @gmaccash Facebook: @Gmaccash.,2024-01-29 02:31:56.748570,rap,Detroit
/watch?v=DLHVFV4yiGY&pp=ygULcmFwIERldHJvaXQ%3D,/channel/UCHB3KMZ3GQulpgtiln_yvGw,BabyTron SB,BabyTron - Michigan Ave (Official Video),1.4M,11 months,"#BabyTron #BinReaper3 #EMPIRE Official Video by BabyTron - ""Michigan Ave"" © 2023 The Hip Hop Lab Records / EMPIRE.",2024-01-29 02:31:56.752912,rap,Detroit
/watch?v=JNf5_F11ds0&pp=ygULcmFwIERldHJvaXQ%3D,/channel/UCVbMup-YfyD8rknO3xJAJ7w,Quin NFN,Quin NFN – Detroit Flow (Official Music Video),4.4M,3 years,Quin NFN – Detroit Flow (Official Music Video) QUINCHO - The Mixtape OUT NOW! QUINCHO Links ...,2024-01-29 02:31:56.755629,rap,Detroit
/watch?v=tlaFOLVYT4o&pp=ygULcmFwIERldHJvaXQ%3D,/@tfentertainment3479,TF Entertainment,"Ice Burgandy, Drego & Beno, BandGang & VVS Beezy - Detroit to Inglewood (Official Music Video)",15M,5 years,Out now.,2024-01-29 02:31:56.758104,rap,Detroit
/watch?v=hCdgDxQbW_U&pp=ygULcmFwIERldHJvaXQ%3D,/channel/UCfM3zsQsOnfWNUppiycmBuw,EminemMusic,"Eminem, Royce da 5'9"", Big Sean, Danny Brown, Dej Loaf, Trick Trick - Detroit Vs. Everybody",64M,9 years,SHADYXV out now! iTunes: http://smarturl.it/ShadyXViT Google Play: http://smarturl.it/ShadyXVgp Playlist Best of Eminem: ...,2024-01-29 02:31:56.760806,rap,Detroit
/watch?v=QbfdXRhYXoQ&pp=ygULcmFwIERldHJvaXQ%3D,/@keepitgblogger,KEEP IT G NEWS,NEW DETAILS! 3 DETRIOT RAPPERS FOUND DEAD IN VACANT BUILDING,254,3 hours,Join this channel to get access to perks: https://www.youtube.com/channel/UCseVl461qITSgdU1WjMx3vw/join #DETROIT ...,2024-01-29 02:31:56.763729,rap,Detroit
/watch?v=yoPlnJvja-o&pp=ygULcmFwIERldHJvaXQ%3D,/@rapreset2003,Rap Reset,The Deadly Detroit Beef That Kills Innocent Lives,175K,4 months,The Deadly Detroit Beef That Kills Innocent Lives Detroit has consistently maintained a reputation for its lively urban environment.,2024-01-29 02:31:56.766232,rap,Detroit
/watch?v=0aVfL_4_NLw&pp=ygULcmFwIERldHJvaXQ%3D,/@epro,ePro Team: Support for Eminem & Shady Records,Eminem: Live from Detroit [8K Ultra HD Version 2023] Anger Management Tour 2,4.1M,11 months,"#Eminem #EminemPro The channel curated by: Igor Basenko, ePro Founder https://www.instagram.com/igorbasenko/ Written by: ...",2024-01-29 02:31:56.770312,rap,Detroit
