video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at,search_term,city
/watch?v=EfK-WX2pa8c&pp=ygURcm9jayBtdXNpYyBMb25kb24%3D,/channel/UCWfAZudbGLAyrrEBaGuslNA,The Clash,The Clash - London Calling (Official Video),57M,14 years,#TheClash #LondonCalling #TheClashOfficial #TheClashOfficialVideo #TheClashOfficialAudio #TheClashSongs ...,2024-01-29 03:43:58.595162,rock music,London
/watch?v=bJ9r8LMU9bQ&pp=ygURcm9jayBtdXNpYyBMb25kb24%3D,/channel/UCWfAZudbGLAyrrEBaGuslNA,The Clash,The Clash - Rock the Casbah (Official Video),93M,14 years,#TheClash #RockTheCasbah #TheClashOfficial #TheClashOfficialVideo #TheClashOfficialAudio #TheClashSongs ...,2024-01-29 03:43:58.596975,rock music,London
/watch?v=wYp5f-gkkEc&pp=ygURcm9jayBtdXNpYyBMb25kb24%3D,/@PeteVinniePlay,Pete & Vinnie Play,CAMDEN TOWN - London's Rock and Metal Area and Iconic Music Venues,12K,2 years,"Hi Everyone, A few weeks ago we posted our latest vlog in Denmark Street. You guys really enjoyed it and asked for more videos ...",2024-01-29 03:43:58.598618,rock music,London
/watch?v=ROTjo6zxgOc&pp=ygURcm9jayBtdXNpYyBMb25kb24%3D,/@worldstarhiphop,WORLDSTARHIPHOP,"PnB Rock ""London"" (WSHH Exclusive - Official Music Video)",2.6M,5 years,"Watch the official music video for ""London"" by PnB Rock. Catch These Vibes Out Now - https://Atlantic.lnk.to/CatchTheseVibes ...",2024-01-29 03:44:05.833792,rock music,London
/watch?v=ZsOPlWPuTGs&pp=ygURcm9jayBtdXNpYyBMb25kb24%3D,/@FreeToursbyFootLondon,Free Tours by Foot - London,London Music Tour 4K | Rock N Roll in Soho,184K,2 years,London has long been the epicentre of the Rock n' Roll world and this nostalgic tour will take you on a journey through ...,2024-01-29 03:44:05.839553,rock music,London
/watch?v=AKORP6ENyFw&pp=ygURcm9jayBtdXNpYyBMb25kb24%3D,/@cherryredgroup,Cherry Red Records,"April Wine - I Like To Rock - (Live at Hammersmith Odeon, London, UK, 1981)",362K,10 years,"APRIL WINE i like to rock 13 i like to rock One of the most successful rock bands ever to come out of Canada, April Wine were ...",2024-01-29 03:44:05.842903,rock music,London
/watch?v=ZCb6sHeC7ac&pp=ygURcm9jayBtdXNpYyBMb25kb24%3D,/channel/UCWfAZudbGLAyrrEBaGuslNA,The Clash,The Clash - Rock the Casbah (4K),1.6M,1 year,#TheClash #RockTheCasbah #TheClashOfficialVideo #RockTheCasbah4K #TheClashOfficial4KVideo #TheClashOfficial ...,2024-01-29 03:44:05.846254,rock music,London
/watch?v=0v4NqK8lFWg&pp=ygURcm9jayBtdXNpYyBMb25kb24%3D,/@Joolzguides,Joolz Guides - London History Walks - Travel Films,Camden Town Rock n Roll Punk Music Pub Crawl - London,459K,6 years,Camden Town Rock n Roll Punk Music - London Pub Crawl Joolz Guides takes you for a walk through his old stomping ground.,2024-01-29 03:44:05.850840,rock music,London
/watch?v=qG1qOd_KwDM&pp=ygURcm9jayBtdXNpYyBMb25kb24%3D,/@Viator,Viator Travel,London Rock Music Tour,41K,11 years,"Calling all music lovers! This is the perfect way to discover London's rock music history. Visit Abbey Road, Tin Pan Alley and ...",2024-01-29 03:44:05.854343,rock music,London
/watch?v=uC4Z62aqG60&pp=ygURcm9jayBtdXNpYyBMb25kb24%3D,/@rocknroll6867,Rock N Roll,The London Rock and Roll Show 1972,31K,3 years,rock n roll intro:(0:00) The House Shakers - Be Bop A Lula:(0:51) Heinz - C'mon Everybody:(3:22) Screaming Lord Sutch:(5:37) Bo ...,2024-01-29 03:44:05.856957,rock music,London
